_id,Unnamed: 0,nyt_id,title,Amazon_url,author,publisher,description,published_date,bestseller_date,rank,rank_last_week,weeks_on_list,NYT_Price,Amazon_Price,Amazon_reviews,Amazon_rating,Amazon_Discount%
ObjectId("5c80968cd5cf373b2803c3a0"),16,5b4aa4ead3089013507db19b,UNACCUSTOMED EARTH,http://www.amazon.com/Unaccustomed-Vintage-Contemporaries-Jhumpa-Lahiri/dp/0307278255?tag=NYTBS-20,Jhumpa Lahiri,Knopf,Stories of the anxiety and transformation experienced by Bengalis in America.,1212883200000,1211587200000,17,0,0,0,11.99,521,4.4,Infinity
ObjectId("5c80968cd5cf373b2803c3a1"),17,5b4aa4ead3089013507db19c,NETHERLAND,http://www.amazon.com/Netherland-A-Novel-Joseph-ONeill/dp/0307377040?tag=NYTBS-20,Joseph O'Neill,Knopf Publishing Group,A Dutchman deserted by his wife after 9/11 finds solace in New York’s immigrant cricket scene.,1212883200000,1211587200000,18,0,0,0,11.99,242,3.5,Infinity
ObjectId("5c80968cd5cf373b2803c3a2"),18,5b4aa4ead3089013507db19d,THE APPEAL,http://www.amazon.com/The-Appeal-John-Grisham/dp/0440243815?tag=NYTBS-20,John Grisham,Doubleday Publishing,Political and legal intrigue ensue when a Mississippi court rules against a company accused of dumping toxic waste.,1212883200000,1211587200000,19,0,0,0,9.99,1257,3.5,Infinity
ObjectId("5c80968cd5cf373b2803c3a3"),19,5b4aa4ead3089013507db19e,INDIANA JONES AND THE KINGDOM OF THE CRYSTAL SKULL,http://www.amazon.com/Indiana-Jones-Kingdom-Crystal-Skull/dp/0345501284?tag=NYTBS-20,James Rollins,Random House Publishing Group,NaN,1212883200000,1211587200000,20,0,0,0,16,36,4.1,Infinity
ObjectId("5c80968cd5cf373b2803c3a4"),20,5b4aa4ead3089013507db19f,BLOOD NOIR,http://www.amazon.com/Blood-Anita-Blake-Vampire-Hunter/dp/0515146374?tag=NYTBS-20,Laurell K Hamilton,Berkley,The vampire hunter Anita Blake is involved in a scandal that threatens the master vampire Jean-Claude’s power.,1213488000000,1212192000000,1,0,1,25.95,8.99,518,3.4,34.64
ObjectId("5c80968cd5cf373b2803c3a5"),21,5b4aa4ead3089013507db1a4,CHASING HARRY WINSTON,http://www.amazon.com/Chasing-Harry-Winston-A-Novel/dp/0743290119?tag=NYTBS-20,Lauren Weisberger,Simon & Schuster,Three glamorous friends, New York women nearing 30, vow to change their lives.,1213488000000,1212192000000,6,0,1,25.95,11.99,301,3.1,46.2
ObjectId("5c80968cd5cf373b2803c3a6"),22,5b4aa4ead3089013507db1a6,DEVIL MAY CARE,http://www.amazon.com/Devil-Care-James-Bond-Novel/dp/0385524285?tag=NYTBS-20,Sebastian Faulks,Doubleday,This continuation of the James Bond franchise finds Bond tracking a dangerous pharmaceutical executive amid cold war tensions with the help of a beautiful girl.,1213488000000,1212192000000,8,0,1,24.95,7.99,169,3.5,32.02
ObjectId("5c80968cd5cf373b2803c3a7"),23,5b4aa4ead3089013507db1a9,SHADOW OF POWER,http://www.amazon.com/Shadow-Power-Paul-Madriani-Novel/dp/B001OW5OR2?tag=NYTBS-20,Steve Martini,Morrow,The lawyer Paul Madriani searches for a missing letter from Thomas Jefferson that might explain a scholar’s murder.,1213488000000,1212192000000,11,0,1,26.95,7.49,153,3.8,27.79
ObjectId("5c80968cd5cf373b2803c3a8"),24,5b4aa4ead3089013507db1af,BLUE SMOKE AND MURDER,http://www.amazon.com/Blue-Smoke-Murder-Elizabeth-Lowell/dp/0060829869?tag=NYTBS-20,Elizabeth Lowell,HarperCollins Publishers,NaN,1213488000000,1212192000000,17,0,0,0,5.99,81,3.9,Infinity
ObjectId("5c80968cd5cf373b2803c3a9"),25,5b4aa4ead3089013507db1b1,THE ENCHANTRESS OF FLORENCE,http://www.amazon.com/The-Enchantress-Florence-A-Novel/dp/0679640517?tag=NYTBS-20,Salman Rushdie,Random House Publishing Group,NaN,1213488000000,1212192000000,19,0,0,0,13.99,177,3.7,Infinity
